pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
2xu5,../pdb/human_interaction_partners/Cathepsin_L/2xu5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2xu5,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.52,,0.21691,0.27583
5maj,../pdb/human_interaction_partners/Cathepsin_L/5maj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/5maj,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.0,,0.13639,0.16999
1cjl,../pdb/human_interaction_partners/Cathepsin_L/1cjl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/1cjl,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.182,0.241
2yj9,../pdb/human_interaction_partners/Cathepsin_L/2yj9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2yj9,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.35,,0.15033,0.20091
3hha,../pdb/human_interaction_partners/Cathepsin_L/3hha,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3hha,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.27,,0.11632,0.15237
3h8b,../pdb/human_interaction_partners/Cathepsin_L/3h8b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3h8b,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.79,,0.216,0.25
5f02,../pdb/human_interaction_partners/Cathepsin_L/5f02,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/5f02,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.43,,0.1432,0.19057
3h8c,../pdb/human_interaction_partners/Cathepsin_L/3h8c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3h8c,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.5,,0.237,0.292
5mae,../pdb/human_interaction_partners/Cathepsin_L/5mae,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/5mae,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.0,,0.14722,0.18213
3bc3,../pdb/human_interaction_partners/Cathepsin_L/3bc3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3bc3,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.183,0.234
1cs8,../pdb/human_interaction_partners/Cathepsin_L/1cs8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/1cs8,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.8,,0.2066,0.2285
2xu1,../pdb/human_interaction_partners/Cathepsin_L/2xu1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2xu1,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.45,,0.23367,0.27217
4axl,../pdb/human_interaction_partners/Cathepsin_L/4axl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/4axl,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.92,,0.18843,0.2303
6jd8,../pdb/human_interaction_partners/Cathepsin_L/6jd8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/6jd8,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.457,,0.1916,0.2369
2vhs,../pdb/human_interaction_partners/Cathepsin_L/2vhs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2vhs,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.5,,0.188,0.22
2yjb,../pdb/human_interaction_partners/Cathepsin_L/2yjb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2yjb,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.4,,0.15887,0.21779
4axm,../pdb/human_interaction_partners/Cathepsin_L/4axm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/4axm,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.72,,0.18777,0.25716
2yjc,../pdb/human_interaction_partners/Cathepsin_L/2yjc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2yjc,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.14,,0.14546,0.18362
5amc,../pdb/human_interaction_partners/ACE2/5amc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/5amc,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.65,,0.20772,0.24169
2c6f,../pdb/human_interaction_partners/ACE2/2c6f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2c6f,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.0,,0.224,0.273
6h5w,../pdb/human_interaction_partners/ACE2/6h5w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6h5w,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.37,,0.1452,0.1753
2ydm,../pdb/human_interaction_partners/ACE2/2ydm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2ydm,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.4,,0.21431,0.26261
3scl,../pdb/human_interaction_partners/ACE2/3scl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3scl,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.0,,0.23881,0.29178
6m18,../pdb/human_interaction_partners/ACE2/6m18,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6m18,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,2.9,,,
2xyd,../pdb/human_interaction_partners/ACE2/2xyd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2xyd,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.15,,0.21991,0.25589
3kbh,../pdb/human_interaction_partners/ACE2/3kbh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3kbh,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.3,,0.26817,0.29973
5am8,../pdb/human_interaction_partners/ACE2/5am8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/5am8,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.9,,0.18543,0.22382
1r4l,../pdb/human_interaction_partners/ACE2/1r4l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/1r4l,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.0,,0.253,0.337
2xy9,../pdb/human_interaction_partners/ACE2/2xy9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2xy9,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.97,,0.19889,0.2318
5am9,../pdb/human_interaction_partners/ACE2/5am9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/5am9,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.19674,0.22907
2iux,../pdb/human_interaction_partners/ACE2/2iux,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2iux,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.8,,0.2006,0.2369
4ca5,../pdb/human_interaction_partners/ACE2/4ca5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4ca5,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.85,,0.18057,0.21344
3sci,../pdb/human_interaction_partners/ACE2/3sci,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3sci,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.9,,0.22587,0.28264
3bkk,../pdb/human_interaction_partners/ACE2/3bkk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3bkk,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.1,,0.202,0.251
5ama,../pdb/human_interaction_partners/ACE2/5ama,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/5ama,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.18675,0.21764
1o8a,../pdb/human_interaction_partners/ACE2/1o8a,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/1o8a,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.0,,0.18,0.22
3d0g,../pdb/human_interaction_partners/ACE2/3d0g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3d0g,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.8,,0.214,0.279
3scj,../pdb/human_interaction_partners/ACE2/3scj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3scj,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.0,,0.22961,0.27771
4ufa,../pdb/human_interaction_partners/ACE2/4ufa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4ufa,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.20232,0.22822
6vw1,../pdb/human_interaction_partners/ACE2/6vw1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6vw1,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.68,,0.197,0.2288
2oc2,../pdb/human_interaction_partners/ACE2/2oc2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2oc2,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.25,,0.215,0.262
6qs1,../pdb/human_interaction_partners/ACE2/6qs1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6qs1,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.2016,0.2323
3d0h,../pdb/human_interaction_partners/ACE2/3d0h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3d0h,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.1,,0.221,0.302
4ufb,../pdb/human_interaction_partners/ACE2/4ufb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4ufb,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.20671,0.2351
1o86,../pdb/human_interaction_partners/ACE2/1o86,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/1o86,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.0,,0.18,0.22
1uzf,../pdb/human_interaction_partners/ACE2/1uzf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/1uzf,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.0,,0.184,0.227
3d0i,../pdb/human_interaction_partners/ACE2/3d0i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3d0i,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.9,,0.224,0.278
4aph,../pdb/human_interaction_partners/ACE2/4aph,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4aph,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.99,,0.19406,0.24026
4c2p,../pdb/human_interaction_partners/ACE2/4c2p,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4c2p,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.99,,0.21124,0.2467
6lzg,../pdb/human_interaction_partners/ACE2/6lzg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6lzg,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.5,,0.1884,0.2156
4bxk,../pdb/human_interaction_partners/ACE2/4bxk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4bxk,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.2,,0.18653,0.21965
6f9t,../pdb/human_interaction_partners/ACE2/6f9t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6f9t,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.6,,0.1647,0.187
4c2q,../pdb/human_interaction_partners/ACE2/4c2q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4c2q,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.4,,0.18826,0.2451
6acj,../pdb/human_interaction_partners/ACE2/6acj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6acj,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,4.2,,,
4apj,../pdb/human_interaction_partners/ACE2/4apj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4apj,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.6,,0.21518,0.25611
6f9u,../pdb/human_interaction_partners/ACE2/6f9u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6f9u,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.9,,0.1672,0.2088
4c2r,../pdb/human_interaction_partners/ACE2/4c2r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4c2r,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.3,,0.20126,0.23783
6ack,../pdb/human_interaction_partners/ACE2/6ack,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6ack,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,4.5,,,
1r42,../pdb/human_interaction_partners/ACE2/1r42,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/1r42,human_interaction_partners,ACE2,X-RAY DIFFRACTION,1,2.2,,0.235,0.287
6f9v,../pdb/human_interaction_partners/ACE2/6f9v,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6f9v,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.69,,0.1834,0.2121
2c6n,../pdb/human_interaction_partners/ACE2/2c6n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2c6n,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.0,,0.294,0.308
6en5,../pdb/human_interaction_partners/ACE2/6en5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6en5,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.75,,0.1728,0.1976
6h5x,../pdb/human_interaction_partners/ACE2/6h5x,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6h5x,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.1644,0.2038
2iul,../pdb/human_interaction_partners/ACE2/2iul,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2iul,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.0,,0.18,0.22
2ajf,../pdb/human_interaction_partners/ACE2/2ajf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/2ajf,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.8,,0.218,0.275
6cs2,../pdb/human_interaction_partners/ACE2/6cs2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6cs2,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,4.4,,,
6en6,../pdb/human_interaction_partners/ACE2/6en6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6en6,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.1934,0.2263
1uze,../pdb/human_interaction_partners/ACE2/1uze,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/1uze,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.82,,0.188,0.211
3l3n,../pdb/human_interaction_partners/ACE2/3l3n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3l3n,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.3,,0.226,0.266
6m0j,../pdb/human_interaction_partners/ACE2/6m0j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6m0j,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.45,,0.192,0.2269
4c2n,../pdb/human_interaction_partners/ACE2/4c2n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4c2n,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.59,,0.20768,0.2631
6acg,../pdb/human_interaction_partners/ACE2/6acg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6acg,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,5.4,,,
4bzr,../pdb/human_interaction_partners/ACE2/4bzr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4bzr,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.85,,0.21423,0.25182
6f9r,../pdb/human_interaction_partners/ACE2/6f9r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6f9r,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.85,,0.1984,0.228
4c2o,../pdb/human_interaction_partners/ACE2/4c2o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4c2o,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.8,,0.18186,0.21348
4bzs,../pdb/human_interaction_partners/ACE2/4bzs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4bzs,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.1,,0.23314,0.27681
4ca6,../pdb/human_interaction_partners/ACE2/4ca6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/4ca6,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.91,,0.18675,0.22296
3nxq,../pdb/human_interaction_partners/ACE2/3nxq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3nxq,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.99,,0.19398,0.23719
3bkl,../pdb/human_interaction_partners/ACE2/3bkl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3bkl,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,2.18,,0.2,0.24
5amb,../pdb/human_interaction_partners/ACE2/5amb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/5amb,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,1.5,,0.1575,0.18115
3sck,../pdb/human_interaction_partners/ACE2/3sck,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/3sck,human_interaction_partners,ACE2,X-RAY DIFFRACTION,0,3.0,,0.2392,0.28529
6m17,../pdb/human_interaction_partners/ACE2/6m17,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6m17,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,2.9,,,
6m1d,../pdb/human_interaction_partners/ACE2/6m1d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/ACE2/6m1d,human_interaction_partners,ACE2,ELECTRON MICROSCOPY,0,4.5,,,
6nq2,../pdb/human_interaction_partners/TCP2/6nq2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6nq2,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.4,,,
6kzp,../pdb/human_interaction_partners/TCP2/6kzp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6kzp,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.1,,,
6j8i,../pdb/human_interaction_partners/TCP2/6j8i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6j8i,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6nq0,../pdb/human_interaction_partners/TCP2/6nq0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6nq0,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.7,,,
6j8j,../pdb/human_interaction_partners/TCP2/6j8j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6j8j,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6nq1,../pdb/human_interaction_partners/TCP2/6nq1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6nq1,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.5,,,
6kzo,../pdb/human_interaction_partners/TCP2/6kzo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6kzo,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.3,,,
5ek0,../pdb/human_interaction_partners/TCP2/5ek0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/5ek0,human_interaction_partners,TCP2,X-RAY DIFFRACTION,0,3.53,,0.2427,0.2719
6j8e,../pdb/human_interaction_partners/TCP2/6j8e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6j8e,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.0,,,
6nt3,../pdb/human_interaction_partners/TCP2/6nt3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6nt3,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.4,,,
6j8g,../pdb/human_interaction_partners/TCP2/6j8g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6j8g,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6du8,../pdb/human_interaction_partners/TCP2/6du8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6du8,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.11,,,
6nt4,../pdb/human_interaction_partners/TCP2/6nt4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6nt4,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.5,,,
6n4q,../pdb/human_interaction_partners/TCP2/6n4q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6n4q,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.6,,,
6j8h,../pdb/human_interaction_partners/TCP2/6j8h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6j8h,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6n4r,../pdb/human_interaction_partners/TCP2/6n4r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6n4r,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,4.2,,,
6agf,../pdb/human_interaction_partners/TCP2/6agf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6agf,human_interaction_partners,TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6n4i,../pdb/human_interaction_partners/TCP2/6n4i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/TCP2/6n4i,human_interaction_partners,TCP2,X-RAY DIFFRACTION,0,3.5,,0.2745,0.2942
1yo4,../pdb/hypothetical_protein_sars7a/SARS-CoV/1yo4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/hypothetical_protein_sars7a/SARS-CoV/1yo4,hypothetical_protein_sars7a,SARS-CoV,SOLUTION NMR,0,,,,
1xak,../pdb/hypothetical_protein_sars7a/SARS-CoV/1xak,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/hypothetical_protein_sars7a/SARS-CoV/1xak,hypothetical_protein_sars7a,SARS-CoV,X-RAY DIFFRACTION,0,1.8,,0.223,0.275
2hsx,../pdb/leader_protein/SARS-CoV/2hsx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV/2hsx,leader_protein,SARS-CoV,SOLUTION NMR,0,,,,
2gdt,../pdb/leader_protein/SARS-CoV/2gdt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/leader_protein/SARS-CoV/2gdt,leader_protein,SARS-CoV,SOLUTION NMR,0,,,,
6wvn,../pdb/methyltransferase-nsp10/SARS-CoV-2/6wvn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6wvn,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1623,0.178
6wjt,../pdb/methyltransferase-nsp10/SARS-CoV-2/6wjt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6wjt,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1711,0.1911
7bq7,../pdb/methyltransferase-nsp10/SARS-CoV-2/7bq7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/7bq7,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.37,,0.1798,0.2085
7c2i,../pdb/methyltransferase-nsp10/SARS-CoV-2/7c2i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/7c2i,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.174,0.2088
